Population,rec_time,site,lab_time,time_since_min,min_t,sample_t,num_q,height,height,height,height,height,height,height,height,height,height,height,height
10,1200,2,22,10,12.5,20,6,9.3,18.31860741,20.03015756,17.23475832,18.53503845,19.54349265,,,,,,
1,1300,3,8,11,12.5,22.5,6,20.61120277,17.64025413,17.72273625,19.08059775,17.31898381,19.20857839,,,,,,
2,1300,1,28,11,12.5,22.5,8,20.12062914,17.27188716,18.53578434,18.32573818,18.54452931,20.31279225,19.01000579,20.95284747,,,,
3,1300,3,8,11,12.5,22.5,5,18.99473437,19.17239901,19.04137789,20.88992518,17.74674719,,,,,,,
4,1300,3,8,11,12.5,22.5,7,7.7,17.8117073,20.2516366,17.99591621,17.44941437,19.45073275,19.07075007,,,,,
5,1300,3,8,11,12.5,22.5,8,17.13148015,19.51885117,19.98292553,18.07659944,18.12410501,18.14477467,17.36686252,20.9523076,,,,
6,1300,4,8,11,12.5,22.5,7,9.6,10.1,20.43445345,19.19665357,17.72422287,20.29060459,19.45492632,,,,,
7,1300,4,8,11,12.5,22.5,8,9.1,9.1,14.3,12.7,18.54594966,18.78351127,17.24805218,19.05616812,,,,
8,1300,4,8,11,12.5,22.5,6,9.1,9.2,8.7,19.54494792,17.29584277,20.79041694,,,,,,
9,1300,1,28,11,12.5,22.5,10,8.1,6.8,18.58048813,17.32172604,17.34374277,19.06176095,17.2798775,18.01471367,19.10524909,19.73202294,,
10,1300,2,22,11,12.5,22.5,7,7.1,17.17324168,18.25921091,17.19887106,18.94061264,18.83833681,18.41930888,,,,,
1,1400,3,8,12,12.5,22.5,6,18.1425414,18.41724083,19.09052723,17.67900969,18.34107183,18.29591493,,,,,,
2,1400,1,28,12,12.5,22.5,7,6.9,20.5469744,18.88048198,19.65680667,17.80927199,17.35531429,20.12610972,,,,,
3,1400,3,8,12,12.5,22.5,5,19.71821513,17.60537091,17.25178671,19.59675741,17.89841884,,,,,,,
4,1400,3,8,12,12.5,22.5,6,12.33,20.40124659,20.13694131,17.53710544,20.41764719,20.30154153,,,,,,
5,1400,3,8,12,12.5,22.5,7,13.9,18.25299847,20.41109355,19.89172537,19.20052468,17.4275412,18.2902692,,,,,
6,1400,4,8,12,12.5,22.5,8,9.1,7.5,17.00421994,17.93871569,19.0915203,20.79166285,18.322784,18.67400184,,,,
7,1400,4,8,12,12.5,22.5,6,9.1,9.8,19.00365805,18.75188441,20.83206347,18.15159227,,,,,,
8,1400,4,8,12,12.5,22.5,9,7.8,7.8,7.9,7.9,20.71056119,20.07871971,17.54411548,17.20358472,20.29340471,,,
9,1400,1,28,12,12.5,22.5,11,9.7,18.21096144,19.74033002,17.00452524,18.51954248,19.83940023,19.86915951,18.7729873,17.34636107,17.97826388,19.40470262,
10,1400,2,22,12,12.5,22.5,9,19.23412594,17.50625713,20.70852707,18.49164501,20.60476628,19.36930907,19.0755011,17.68635409,17.18952053,,,
1,1500,3,8,13,12.5,25,7,17.071682,20.13039387,20.23310443,18.84084894,17.60147789,18.38955748,20.69883861,,,,,
2,1500,1,28,13,12.5,25,6,8.1,19.88007408,20.78930683,18.26240381,19.13367693,18.07909092,,,,,,
3,1500,3,8,13,12.5,25,4,20.12726801,18.02582475,19.52243515,17.66143362,,,,,,,,
4,1500,3,8,13,12.5,25,8,11.1,20.3660431,20.40871307,19.94207254,19.59395606,17.43317935,20.98104391,18.11280058,,,,
5,1500,3,8,13,12.5,25,7,13.7,17.78450152,20.47249167,19.58434005,17.09746962,18.67551794,19.03571659,,,,,
6,1500,4,8,13,12.5,25,8,9.1,7.5,19.90160252,19.12358754,19.76008542,17.22823218,17.22652249,17.25008335,,,,
7,1500,4,8,13,12.5,25,5,9.1,9.8,18.13046244,18.135997,18.39682963,,,,,,,
8,1500,4,8,13,12.5,25,10,7.8,7.8,7.9,7.9,17.90625366,19.95363956,19.35192283,19.66206564,19.22710044,20.44809609,,
9,1500,1,28,13,12.5,25,11,9.7,17.51991042,17.0922588,19.71133644,19.67291151,17.64796548,19.09371029,19.9652484,20.86109842,20.40295213,20.44146129,
10,1500,2,22,13,12.5,25,9,20.63858711,19.72946652,19.87532889,18.72406117,20.76827131,20.31057574,18.96851342,18.87527624,17.92037335,,,
1,1000,3,8,8,15,17.5,5,19.92803695,17.85881603,19.65259892,17.65616362,18.42222318,,,,,,,
2,1000,1,28,8,15,17.5,5,19.64038946,20.90591474,19.80569133,19.88924381,19.26804456,,,,,,,
3,1000,3,8,8,15,17.5,3,11.9,20.98275475,17.06704984,,,,,,,,,
4,1000,3,8,8,15,17.5,4,17.41984347,20.68066615,17.73231545,20.95974435,,,,,,,,
5,1000,3,8,8,15,17.5,5,18.2806126,18.96033583,20.22534615,17.3126775,19.50749494,,,,,,,
6,1000,4,8,8,15,17.5,8,6.7,9.2,19.98497967,17.46429802,18.27062425,17.78754461,20.00342499,17.39779381,,,,
7,1000,4,8,8,15,17.5,8,9.1,9.1,9.1,8.9,9.3,19.70288748,17.34558658,19.95550757,,,,
8,1000,4,8,8,15,17.5,5,9.1,9.3,20.1823555,19.11744242,19.44897088,,,,,,,
9,1000,1,28,8,15,17.5,7,9,17.08466424,18.29263256,18.59566384,18.17611819,18.29208118,19.26320229,,,,,
10,1000,2,22,8,15,17.5,5,9.1,9.3,20.66875928,18.95829132,19.77619723,,,,,,,
1,1100,3,8,9,15,20,3,20.35668386,20.7517824,17.59660891,,,,,,,,,
2,1100,1,28,9,15,20,4,18.51295464,17.59996006,18.40021987,20.64116681,,,,,,,,
3,1100,3,8,9,15,20,4,16.3,13.5,17.82767038,18.39917104,,,,,,,,
4,1100,3,8,9,15,20,5,20.6668768,20.80959742,18.59181057,17.01241519,19.61561688,,,,,,,
5,1100,3,8,9,15,20,6,20.89529689,17.62201386,20.48078452,19.34224384,18.19635748,20.60485259,,,,,,
6,1100,4,8,9,15,20,8,7.6,9.3,18.1441774,19.59818019,17.58098604,18.77733967,18.60328787,17.50449906,,,,
