pop,numb_q,numb_tick,perc_q,rec_time,site,lab_time,time_since_min,min_t,sample_t,mean_nt
2,6,15,0.4,1200,1,28,10,15,20,16
3,5,15,0.333333333,1200,3,8,10,15,20,16
4,4,15,0.266666667,1200,3,8,10,15,20,16
5,6,15,0.4,1200,3,8,10,15,20,16
6,8,15,0.533333333,1200,4,8,10,15,20,16
7,6,15,0.4,1200,4,8,10,15,20,16
8,7,15,0.466666667,1200,4,8,10,15,20,16
9,7,15,0.466666667,1200,1,28,10,15,20,16
10,4,15,0.266666667,1200,2,22,10,15,20,16
1,4,15,0.266666667,1300,3,8,11,15,22.5,16
2,6,15,0.4,1300,1,28,11,15,22.5,16
3,4,15,0.266666667,1300,3,8,11,15,22.5,16
4,5,15,0.333333333,1300,3,8,11,15,22.5,16
5,6,15,0.4,1300,3,8,11,15,22.5,16
6,7,15,0.466666667,1300,4,8,11,15,22.5,16
7,5,15,0.333333333,1300,4,8,11,15,22.5,16
8,7,15,0.466666667,1300,4,8,11,15,22.5,16
9,6,15,0.4,1300,1,28,11,15,22.5,16
10,4,15,0.266666667,1300,2,22,11,15,22.5,16
1,4,15,0.266666667,1400,3,8,12,15,22.5,16
2,7,15,0.466666667,1400,1,28,12,15,22.5,16
3,4,15,0.266666667,1400,3,8,12,15,22.5,16
4,3,15,0.2,1400,3,8,12,15,22.5,16
5,6,15,0.4,1400,3,8,12,15,22.5,16
6,5,15,0.333333333,1400,4,8,12,15,22.5,16
7,5,15,0.333333333,1400,4,8,12,15,22.5,16
8,6,15,0.4,1400,4,8,12,15,22.5,16
9,8,15,0.533333333,1400,1,28,12,15,22.5,16
10,4,15,0.266666667,1400,2,22,12,15,22.5,16
1,5,15,0.333333333,1500,3,8,13,15,25,16
2,6,15,0.4,1500,1,28,13,15,25,16
3,4,15,0.266666667,1500,3,8,13,15,25,16
4,3,15,0.2,1500,3,8,13,15,25,16
5,6,15,0.4,1500,3,8,13,15,25,16
6,8,15,0.533333333,1500,4,8,13,15,25,16
